"","studyid","intid","int_type","spp","year","species","phenofreq","short_site","terrestrial","phenovalue","newyear","yr1981"
"237","HMK018",167,"competition","spp1",2003,"Pygoscelis adeliae","daily","antarctica","terrestrial",121,2003,22
"253","HMK018",168,"competition","spp1",2003,"Pygoscelis adeliae","daily","antarctica","terrestrial",121,2003,22
"238","HMK018",167,"competition","spp1",2004,"Pygoscelis adeliae","daily","antarctica","terrestrial",119,2004,23
"254","HMK018",168,"competition","spp1",2004,"Pygoscelis adeliae","daily","antarctica","terrestrial",119,2004,23
"239","HMK018",167,"competition","spp1",2005,"Pygoscelis adeliae","daily","antarctica","terrestrial",126.5,2005,24
"255","HMK018",168,"competition","spp1",2005,"Pygoscelis adeliae","daily","antarctica","terrestrial",126.5,2005,24
"240","HMK018",167,"competition","spp1",2006,"Pygoscelis adeliae","daily","antarctica","terrestrial",127,2006,25
"256","HMK018",168,"competition","spp1",2006,"Pygoscelis adeliae","daily","antarctica","terrestrial",127,2006,25
"257","HMK018",168,"competition","spp1",2007,"Pygoscelis adeliae","daily","antarctica","terrestrial",135,2007,26
"268","HMK018",167,"competition","spp2",1997,"Pygoscelis antarcticus","daily","antarctica","terrestrial",146,1997,16
"269","HMK018",167,"competition","spp2",1998,"Pygoscelis antarcticus","daily","antarctica","terrestrial",142,1998,17
"270","HMK018",167,"competition","spp2",1999,"Pygoscelis antarcticus","daily","antarctica","terrestrial",141,1999,18
"271","HMK018",167,"competition","spp2",2000,"Pygoscelis antarcticus","daily","antarctica","terrestrial",142,2000,19
"272","HMK018",167,"competition","spp2",2001,"Pygoscelis antarcticus","daily","antarctica","terrestrial",141,2001,20
"273","HMK018",167,"competition","spp2",2002,"Pygoscelis antarcticus","daily","antarctica","terrestrial",146,2002,21
"274","HMK018",167,"competition","spp2",2003,"Pygoscelis antarcticus","daily","antarctica","terrestrial",143,2003,22
"275","HMK018",167,"competition","spp2",2004,"Pygoscelis antarcticus","daily","antarctica","terrestrial",146,2004,23
"276","HMK018",167,"competition","spp2",2005,"Pygoscelis antarcticus","daily","antarctica","terrestrial",140,2005,24
"277","HMK018",167,"competition","spp2",2006,"Pygoscelis antarcticus","daily","antarctica","terrestrial",138,2006,25
"278","HMK018",168,"competition","spp2",1991,"Pygoscelis papua","daily","antarctica","terrestrial",137,1991,10
"279","HMK018",168,"competition","spp2",1992,"Pygoscelis papua","daily","antarctica","terrestrial",133,1992,11
"280","HMK018",168,"competition","spp2",1993,"Pygoscelis papua","daily","antarctica","terrestrial",125,1993,12
"281","HMK018",168,"competition","spp2",1994,"Pygoscelis papua","daily","antarctica","terrestrial",138,1994,13
"282","HMK018",168,"competition","spp2",1995,"Pygoscelis papua","daily","antarctica","terrestrial",121,1995,14
"283","HMK018",168,"competition","spp2",1996,"Pygoscelis papua","daily","antarctica","terrestrial",126,1996,15
"284","HMK018",168,"competition","spp2",1997,"Pygoscelis papua","daily","antarctica","terrestrial",125,1997,16
"295","HMK018",169,"competition","spp2",1997,"Pygoscelis papua","daily","antarctica","terrestrial",125,1997,16
"285","HMK018",168,"competition","spp2",1998,"Pygoscelis papua","daily","antarctica","terrestrial",133,1998,17
"296","HMK018",169,"competition","spp2",1998,"Pygoscelis papua","daily","antarctica","terrestrial",133,1998,17
"286","HMK018",168,"competition","spp2",1999,"Pygoscelis papua","daily","antarctica","terrestrial",131.5,1999,18
"297","HMK018",169,"competition","spp2",1999,"Pygoscelis papua","daily","antarctica","terrestrial",131.5,1999,18
"287","HMK018",168,"competition","spp2",2000,"Pygoscelis papua","daily","antarctica","terrestrial",131.5,2000,19
"298","HMK018",169,"competition","spp2",2000,"Pygoscelis papua","daily","antarctica","terrestrial",131.5,2000,19
"288","HMK018",168,"competition","spp2",2001,"Pygoscelis papua","daily","antarctica","terrestrial",123,2001,20
"299","HMK018",169,"competition","spp2",2001,"Pygoscelis papua","daily","antarctica","terrestrial",123,2001,20
"289","HMK018",168,"competition","spp2",2002,"Pygoscelis papua","daily","antarctica","terrestrial",140.5,2002,21
"300","HMK018",169,"competition","spp2",2002,"Pygoscelis papua","daily","antarctica","terrestrial",140.5,2002,21
"290","HMK018",168,"competition","spp2",2003,"Pygoscelis papua","daily","antarctica","terrestrial",134.5,2003,22
"301","HMK018",169,"competition","spp2",2003,"Pygoscelis papua","daily","antarctica","terrestrial",134.5,2003,22
"291","HMK018",168,"competition","spp2",2004,"Pygoscelis papua","daily","antarctica","terrestrial",133,2004,23
"302","HMK018",169,"competition","spp2",2004,"Pygoscelis papua","daily","antarctica","terrestrial",133,2004,23
"292","HMK018",168,"competition","spp2",2005,"Pygoscelis papua","daily","antarctica","terrestrial",130.5,2005,24
"303","HMK018",169,"competition","spp2",2005,"Pygoscelis papua","daily","antarctica","terrestrial",130.5,2005,24
"293","HMK018",168,"competition","spp2",2006,"Pygoscelis papua","daily","antarctica","terrestrial",125,2006,25
"304","HMK018",169,"competition","spp2",2006,"Pygoscelis papua","daily","antarctica","terrestrial",125,2006,25
"294","HMK018",168,"competition","spp2",2007,"Pygoscelis papua","daily","antarctica","terrestrial",141,2007,26
"13","HMK004",19,"herbivory","spp1",1982,"Quercus spp.","daily","ukraine","terrestrial",99.6054,1982,1
"14","HMK004",19,"herbivory","spp1",1983,"Quercus spp.","daily","ukraine","terrestrial",92.7749,1983,2
"15","HMK004",19,"herbivory","spp1",1984,"Quercus spp.","daily","ukraine","terrestrial",100.0908,1984,3
"16","HMK004",19,"herbivory","spp1",1985,"Quercus spp.","daily","ukraine","terrestrial",107.67,1985,4
"17","HMK004",19,"herbivory","spp1",1986,"Quercus spp.","daily","ukraine","terrestrial",92.4126,1986,5
"18","HMK004",19,"herbivory","spp1",1987,"Quercus spp.","daily","ukraine","terrestrial",115.786,1987,6
"19","HMK004",19,"herbivory","spp1",1988,"Quercus spp.","daily","ukraine","terrestrial",95.9811,1988,7
"1820","HMK048",222,"herbivory","spp1",1988,"Quercus3 robur","weekly","netherlands","terrestrial",33.2699,1988,7
"1821","HMK048",222,"herbivory","spp1",1989,"Quercus3 robur","weekly","netherlands","terrestrial",25.5849,1989,8
"1822","HMK048",222,"herbivory","spp1",1990,"Quercus3 robur","weekly","netherlands","terrestrial",27.8998,1990,9
"1823","HMK048",222,"herbivory","spp1",1992,"Quercus3 robur","weekly","netherlands","terrestrial",40.8691,1992,11
"1824","HMK048",222,"herbivory","spp1",1993,"Quercus3 robur","weekly","netherlands","terrestrial",25.1861,1993,12
"1825","HMK048",222,"herbivory","spp1",1994,"Quercus3 robur","weekly","netherlands","terrestrial",30.1677,1994,13
"1826","HMK048",222,"herbivory","spp1",1995,"Quercus3 robur","weekly","netherlands","terrestrial",29.82,1995,14
"1827","HMK048",222,"herbivory","spp1",1996,"Quercus3 robur","weekly","netherlands","terrestrial",38.135,1996,15
"1828","HMK048",222,"herbivory","spp1",1997,"Quercus3 robur","weekly","netherlands","terrestrial",35.1186,1997,16
"1829","HMK048",222,"herbivory","spp1",1998,"Quercus3 robur","weekly","netherlands","terrestrial",30.4356,1998,17
"1830","HMK048",222,"herbivory","spp1",1999,"Quercus3 robur","weekly","netherlands","terrestrial",26.4192,1999,18
"1831","HMK048",222,"herbivory","spp1",2000,"Quercus3 robur","weekly","netherlands","terrestrial",29.0695,2000,19
"1832","HMK048",222,"herbivory","spp1",2001,"Quercus3 robur","weekly","netherlands","terrestrial",37.0532,2001,20
"1833","HMK048",222,"herbivory","spp1",2002,"Quercus3 robur","weekly","netherlands","terrestrial",30.3701,2002,21
"1834","HMK048",222,"herbivory","spp1",2003,"Quercus3 robur","weekly","netherlands","terrestrial",26.3538,2003,22
"1835","HMK048",222,"herbivory","spp1",2004,"Quercus3 robur","weekly","netherlands","terrestrial",25.3374,2004,23
"1836","HMK048",222,"herbivory","spp1",2005,"Quercus3 robur","weekly","netherlands","terrestrial",26.319,2005,24
"811","HMK030",183,"herbivory","spp2",2002,"Rangifer2 tarandus","daily","greenland","terrestrial",159.115,2002,21
"812","HMK030",183,"herbivory","spp2",2003,"Rangifer2 tarandus","daily","greenland","terrestrial",155.301,2003,22
"813","HMK030",183,"herbivory","spp2",2004,"Rangifer2 tarandus","daily","greenland","terrestrial",159.354,2004,23
"814","HMK030",183,"herbivory","spp2",2005,"Rangifer2 tarandus","daily","greenland","terrestrial",155.539,2005,24
"815","HMK030",183,"herbivory","spp2",2006,"Rangifer2 tarandus","daily","greenland","terrestrial",157.435,2006,25
"816","HMK030",183,"herbivory","spp2",2007,"Rangifer2 tarandus","daily","greenland","terrestrial",156.793,2007,26
"817","HMK030",183,"herbivory","spp2",2008,"Rangifer2 tarandus","daily","greenland","terrestrial",152.851,2008,27
"818","HMK030",183,"herbivory","spp2",2009,"Rangifer2 tarandus","daily","greenland","terrestrial",155.001,2009,28
"819","HMK030",183,"herbivory","spp2",2010,"Rangifer2 tarandus","daily","greenland","terrestrial",157.405,2010,29
"820","HMK030",183,"herbivory","spp2",2011,"Rangifer2 tarandus","daily","greenland","terrestrial",156.381,2011,30
"2189","SET005",234,"predation","spp2",1983,"Rissa2 tridactyla","daily","northsea","aquatic",188.3236,1983,2
"2190","SET005",234,"predation","spp2",1984,"Rissa2 tridactyla","daily","northsea","aquatic",186.209,1984,3
"2191","SET005",234,"predation","spp2",1985,"Rissa2 tridactyla","daily","northsea","aquatic",194.397,1985,4
"2192","SET005",234,"predation","spp2",1986,"Rissa2 tridactyla","daily","northsea","aquatic",188.8935,1986,5
"2193","SET005",234,"predation","spp2",1987,"Rissa2 tridactyla","daily","northsea","aquatic",183.1803,1987,6
"2194","SET005",234,"predation","spp2",1988,"Rissa2 tridactyla","daily","northsea","aquatic",186.2381,1988,7
"2195","SET005",234,"predation","spp2",1989,"Rissa2 tridactyla","daily","northsea","aquatic",177.8367,1989,8
"2196","SET005",234,"predation","spp2",1990,"Rissa2 tridactyla","daily","northsea","aquatic",181.6119,1990,9
"2197","SET005",234,"predation","spp2",1991,"Rissa2 tridactyla","daily","northsea","aquatic",184.9961,1991,10
"2198","SET005",234,"predation","spp2",1992,"Rissa2 tridactyla","daily","northsea","aquatic",180.8311,1992,11
"2199","SET005",234,"predation","spp2",1993,"Rissa2 tridactyla","daily","northsea","aquatic",183.0785,1993,12
"2200","SET005",234,"predation","spp2",1994,"Rissa2 tridactyla","daily","northsea","aquatic",197.3493,1994,13
"2201","SET005",234,"predation","spp2",1995,"Rissa2 tridactyla","daily","northsea","aquatic",195.5882,1995,14
"2202","SET005",234,"predation","spp2",1996,"Rissa2 tridactyla","daily","northsea","aquatic",205.273,1996,15
"2203","SET005",234,"predation","spp2",1997,"Rissa2 tridactyla","daily","northsea","aquatic",189.462,1997,16
"2204","SET005",234,"predation","spp2",1998,"Rissa2 tridactyla","daily","northsea","aquatic",192.9487,1998,17
"2205","SET005",234,"predation","spp2",1999,"Rissa2 tridactyla","daily","northsea","aquatic",195.6063,1999,18
"2206","SET005",234,"predation","spp2",2000,"Rissa2 tridactyla","daily","northsea","aquatic",185.295,2000,19
"2207","SET005",234,"predation","spp2",2001,"Rissa2 tridactyla","daily","northsea","aquatic",196.403,2001,20
"2208","SET005",234,"predation","spp2",2002,"Rissa2 tridactyla","daily","northsea","aquatic",189.4001,2002,21
"2209","SET005",234,"predation","spp2",2003,"Rissa2 tridactyla","daily","northsea","aquatic",188.9561,2003,22
"2210","SET005",234,"predation","spp2",2004,"Rissa2 tridactyla","daily","northsea","aquatic",204.0309,2004,23
"2211","SET005",234,"predation","spp2",2005,"Rissa2 tridactyla","daily","northsea","aquatic",211.3127,2005,24
"2212","SET005",234,"predation","spp2",2006,"Rissa2 tridactyla","daily","northsea","aquatic",206.4742,2006,25
"123","HMK008",145,"pollination","spp2",1975,"Selasphorus platycercus","daily","arizona","terrestrial",135.0237,1975,-6
"153","HMK008",146,"pollination","spp2",1975,"Selasphorus platycercus","daily","arizona","terrestrial",135.0237,1975,-6
"124","HMK008",145,"pollination","spp2",1979,"Selasphorus platycercus","daily","arizona","terrestrial",136.4563,1979,-2
"154","HMK008",146,"pollination","spp2",1979,"Selasphorus platycercus","daily","arizona","terrestrial",136.4563,1979,-2
"125","HMK008",145,"pollination","spp2",1980,"Selasphorus platycercus","daily","arizona","terrestrial",138.321,1980,-1
"155","HMK008",146,"pollination","spp2",1980,"Selasphorus platycercus","daily","arizona","terrestrial",138.321,1980,-1
"126","HMK008",145,"pollination","spp2",1981,"Selasphorus platycercus","daily","arizona","terrestrial",133.4288,1981,0
"156","HMK008",146,"pollination","spp2",1981,"Selasphorus platycercus","daily","arizona","terrestrial",133.4288,1981,0
"127","HMK008",145,"pollination","spp2",1982,"Selasphorus platycercus","daily","arizona","terrestrial",135.0248,1982,1
"128","HMK008",145,"pollination","spp2",1983,"Selasphorus platycercus","daily","arizona","terrestrial",147.6623,1983,2
"157","HMK008",146,"pollination","spp2",1983,"Selasphorus platycercus","daily","arizona","terrestrial",147.6623,1983,2
"104","HMK008",144,"pollination","spp2",1984,"Selasphorus platycercus","daily","arizona","terrestrial",105.56655,1984,3
"129","HMK008",145,"pollination","spp2",1984,"Selasphorus platycercus","daily","arizona","terrestrial",105.56655,1984,3
"158","HMK008",146,"pollination","spp2",1984,"Selasphorus platycercus","daily","arizona","terrestrial",105.56655,1984,3
"105","HMK008",144,"pollination","spp2",1985,"Selasphorus platycercus","daily","arizona","terrestrial",111.87816,1985,4
"130","HMK008",145,"pollination","spp2",1985,"Selasphorus platycercus","daily","arizona","terrestrial",111.87816,1985,4
"106","HMK008",144,"pollination","spp2",1986,"Selasphorus platycercus","daily","arizona","terrestrial",117.4038,1986,5
"131","HMK008",145,"pollination","spp2",1986,"Selasphorus platycercus","daily","arizona","terrestrial",117.4038,1986,5
"159","HMK008",146,"pollination","spp2",1986,"Selasphorus platycercus","daily","arizona","terrestrial",117.4038,1986,5
"107","HMK008",144,"pollination","spp2",1987,"Selasphorus platycercus","daily","arizona","terrestrial",104.1018,1987,6
"132","HMK008",145,"pollination","spp2",1987,"Selasphorus platycercus","daily","arizona","terrestrial",104.1018,1987,6
"160","HMK008",146,"pollination","spp2",1987,"Selasphorus platycercus","daily","arizona","terrestrial",104.1018,1987,6
"108","HMK008",144,"pollination","spp2",1988,"Selasphorus platycercus","daily","arizona","terrestrial",137.2863,1988,7
"133","HMK008",145,"pollination","spp2",1988,"Selasphorus platycercus","daily","arizona","terrestrial",137.2863,1988,7
"161","HMK008",146,"pollination","spp2",1988,"Selasphorus platycercus","daily","arizona","terrestrial",137.2863,1988,7
"109","HMK008",144,"pollination","spp2",1989,"Selasphorus platycercus","daily","arizona","terrestrial",124.44905,1989,8
"134","HMK008",145,"pollination","spp2",1989,"Selasphorus platycercus","daily","arizona","terrestrial",124.44905,1989,8
"162","HMK008",146,"pollination","spp2",1989,"Selasphorus platycercus","daily","arizona","terrestrial",124.44905,1989,8
"110","HMK008",144,"pollination","spp2",1991,"Selasphorus platycercus","daily","arizona","terrestrial",118.3513,1991,10
"135","HMK008",145,"pollination","spp2",1991,"Selasphorus platycercus","daily","arizona","terrestrial",118.3513,1991,10
"163","HMK008",146,"pollination","spp2",1991,"Selasphorus platycercus","daily","arizona","terrestrial",118.3513,1991,10
"111","HMK008",144,"pollination","spp2",1992,"Selasphorus platycercus","daily","arizona","terrestrial",117.2051,1992,11
"112","HMK008",144,"pollination","spp2",1993,"Selasphorus platycercus","daily","arizona","terrestrial",125.48115,1993,12
"136","HMK008",145,"pollination","spp2",1993,"Selasphorus platycercus","daily","arizona","terrestrial",125.48115,1993,12
"164","HMK008",146,"pollination","spp2",1993,"Selasphorus platycercus","daily","arizona","terrestrial",125.48115,1993,12
"113","HMK008",144,"pollination","spp2",1994,"Selasphorus platycercus","daily","arizona","terrestrial",120.24725,1994,13
"114","HMK008",144,"pollination","spp2",1995,"Selasphorus platycercus","daily","arizona","terrestrial",122.9208,1995,14
"137","HMK008",145,"pollination","spp2",1995,"Selasphorus platycercus","daily","arizona","terrestrial",122.9208,1995,14
"165","HMK008",146,"pollination","spp2",1995,"Selasphorus platycercus","daily","arizona","terrestrial",122.9208,1995,14
"138","HMK008",145,"pollination","spp2",1996,"Selasphorus platycercus","daily","arizona","terrestrial",139.1117,1996,15
"166","HMK008",146,"pollination","spp2",1996,"Selasphorus platycercus","daily","arizona","terrestrial",139.1117,1996,15
"115","HMK008",144,"pollination","spp2",1997,"Selasphorus platycercus","daily","arizona","terrestrial",114.09895,1997,16
"139","HMK008",145,"pollination","spp2",1997,"Selasphorus platycercus","daily","arizona","terrestrial",114.09895,1997,16
"167","HMK008",146,"pollination","spp2",1997,"Selasphorus platycercus","daily","arizona","terrestrial",114.09895,1997,16
"140","HMK008",145,"pollination","spp2",1998,"Selasphorus platycercus","daily","arizona","terrestrial",134.0889,1998,17
"168","HMK008",146,"pollination","spp2",1998,"Selasphorus platycercus","daily","arizona","terrestrial",134.0889,1998,17
"116","HMK008",144,"pollination","spp2",1999,"Selasphorus platycercus","daily","arizona","terrestrial",134.1332,1999,18
"141","HMK008",145,"pollination","spp2",1999,"Selasphorus platycercus","daily","arizona","terrestrial",134.1332,1999,18
"169","HMK008",146,"pollination","spp2",1999,"Selasphorus platycercus","daily","arizona","terrestrial",134.1332,1999,18
"142","HMK008",145,"pollination","spp2",2000,"Selasphorus platycercus","daily","arizona","terrestrial",116.26345,2000,19
"170","HMK008",146,"pollination","spp2",2000,"Selasphorus platycercus","daily","arizona","terrestrial",116.26345,2000,19
"117","HMK008",144,"pollination","spp2",2001,"Selasphorus platycercus","daily","arizona","terrestrial",95.23505,2001,20
"143","HMK008",145,"pollination","spp2",2001,"Selasphorus platycercus","daily","arizona","terrestrial",95.23505,2001,20
"171","HMK008",146,"pollination","spp2",2001,"Selasphorus platycercus","daily","arizona","terrestrial",95.23505,2001,20
"144","HMK008",145,"pollination","spp2",2002,"Selasphorus platycercus","daily","arizona","terrestrial",125.7198,2002,21
"172","HMK008",146,"pollination","spp2",2002,"Selasphorus platycercus","daily","arizona","terrestrial",125.7198,2002,21
"118","HMK008",144,"pollination","spp2",2003,"Selasphorus platycercus","daily","arizona","terrestrial",126.27915,2003,22
"145","HMK008",145,"pollination","spp2",2003,"Selasphorus platycercus","daily","arizona","terrestrial",126.27915,2003,22
"173","HMK008",146,"pollination","spp2",2003,"Selasphorus platycercus","daily","arizona","terrestrial",126.27915,2003,22
"146","HMK008",145,"pollination","spp2",2004,"Selasphorus platycercus","daily","arizona","terrestrial",124.6918,2004,23
"174","HMK008",146,"pollination","spp2",2004,"Selasphorus platycercus","daily","arizona","terrestrial",124.6918,2004,23
"147","HMK008",145,"pollination","spp2",2005,"Selasphorus platycercus","daily","arizona","terrestrial",129.1695,2005,24
"175","HMK008",146,"pollination","spp2",2005,"Selasphorus platycercus","daily","arizona","terrestrial",129.1695,2005,24
"148","HMK008",145,"pollination","spp2",2006,"Selasphorus platycercus","daily","arizona","terrestrial",136.8343,2006,25
"176","HMK008",146,"pollination","spp2",2006,"Selasphorus platycercus","daily","arizona","terrestrial",136.8343,2006,25
"119","HMK008",144,"pollination","spp2",2007,"Selasphorus platycercus","daily","arizona","terrestrial",111.7822,2007,26
"149","HMK008",145,"pollination","spp2",2007,"Selasphorus platycercus","daily","arizona","terrestrial",111.7822,2007,26
"120","HMK008",144,"pollination","spp2",2008,"Selasphorus platycercus","daily","arizona","terrestrial",122.6224,2008,27
"150","HMK008",145,"pollination","spp2",2008,"Selasphorus platycercus","daily","arizona","terrestrial",122.6224,2008,27
"177","HMK008",146,"pollination","spp2",2008,"Selasphorus platycercus","daily","arizona","terrestrial",122.6224,2008,27
"121","HMK008",144,"pollination","spp2",2009,"Selasphorus platycercus","daily","arizona","terrestrial",107.19982,2009,28
"151","HMK008",145,"pollination","spp2",2009,"Selasphorus platycercus","daily","arizona","terrestrial",107.19982,2009,28
"178","HMK008",146,"pollination","spp2",2009,"Selasphorus platycercus","daily","arizona","terrestrial",107.19982,2009,28
"122","HMK008",144,"pollination","spp2",2010,"Selasphorus platycercus","daily","arizona","terrestrial",119.7149,2010,29
"152","HMK008",145,"pollination","spp2",2010,"Selasphorus platycercus","daily","arizona","terrestrial",119.7149,2010,29
"179","HMK008",146,"pollination","spp2",2010,"Selasphorus platycercus","daily","arizona","terrestrial",119.7149,2010,29
"180","HMK008",146,"pollination","spp2",2011,"Selasphorus platycercus","daily","arizona","terrestrial",140.2216,2011,30
"1335","HMK038",200,"predation","spp1",1980,"Sitta europaea","daily","czech","terrestrial",108.409,1980,-1
"1336","HMK038",200,"predation","spp1",1981,"Sitta europaea","daily","czech","terrestrial",102.5,1981,0
"1337","HMK038",200,"predation","spp1",1982,"Sitta europaea","daily","czech","terrestrial",112.5,1982,1
"1338","HMK038",200,"predation","spp1",1983,"Sitta europaea","daily","czech","terrestrial",102.955,1983,2
"1339","HMK038",200,"predation","spp1",1984,"Sitta europaea","daily","czech","terrestrial",112.045,1984,3
"1340","HMK038",200,"predation","spp1",1985,"Sitta europaea","daily","czech","terrestrial",107.5,1985,4
"1341","HMK038",200,"predation","spp1",1986,"Sitta europaea","daily","czech","terrestrial",108.636,1986,5
"1342","HMK038",200,"predation","spp1",1987,"Sitta europaea","daily","czech","terrestrial",104.773,1987,6
"1343","HMK038",200,"predation","spp1",1988,"Sitta europaea","daily","czech","terrestrial",108.409,1988,7
"1344","HMK038",200,"predation","spp1",1989,"Sitta europaea","daily","czech","terrestrial",106.818,1989,8
"1345","HMK038",200,"predation","spp1",1990,"Sitta europaea","daily","czech","terrestrial",101.818,1990,9
"1346","HMK038",200,"predation","spp1",1991,"Sitta europaea","daily","czech","terrestrial",109.318,1991,10
"1347","HMK038",200,"predation","spp1",1992,"Sitta europaea","daily","czech","terrestrial",104.318,1992,11
"1348","HMK038",200,"predation","spp1",1993,"Sitta europaea","daily","czech","terrestrial",107.955,1993,12
"1349","HMK038",200,"predation","spp1",1994,"Sitta europaea","daily","czech","terrestrial",105.909,1994,13
"1350","HMK038",200,"predation","spp1",1995,"Sitta europaea","daily","czech","terrestrial",111.364,1995,14
"1351","HMK038",200,"predation","spp1",1996,"Sitta europaea","daily","czech","terrestrial",109.545,1996,15
"1352","HMK038",200,"predation","spp1",1997,"Sitta europaea","daily","czech","terrestrial",114.091,1997,16
"1353","HMK038",200,"predation","spp1",1998,"Sitta europaea","daily","czech","terrestrial",103.409,1998,17
"1354","HMK038",200,"predation","spp1",1999,"Sitta europaea","daily","czech","terrestrial",101.591,1999,18
"1355","HMK038",200,"predation","spp1",2000,"Sitta europaea","daily","czech","terrestrial",103.409,2000,19
"1356","HMK038",200,"predation","spp1",2001,"Sitta europaea","daily","czech","terrestrial",106.136,2001,20
"1357","HMK038",200,"predation","spp1",2002,"Sitta europaea","daily","czech","terrestrial",102.273,2002,21
"1358","HMK038",200,"predation","spp1",2003,"Sitta europaea","daily","czech","terrestrial",115,2003,22
"1359","HMK038",200,"predation","spp1",2004,"Sitta europaea","daily","czech","terrestrial",100.682,2004,23
"1360","HMK038",200,"predation","spp1",2005,"Sitta europaea","daily","czech","terrestrial",104.318,2005,24
"942","HMK033",190,"pollination","spp2",1992,"Syrphid spp.","daily","rbml","terrestrial",161.093,1992,11
"943","HMK033",190,"pollination","spp2",1993,"Syrphid spp.","daily","rbml","terrestrial",176.813,1993,12
"944","HMK033",190,"pollination","spp2",1994,"Syrphid spp.","daily","rbml","terrestrial",159.518,1994,13
"945","HMK033",190,"pollination","spp2",1995,"Syrphid spp.","daily","rbml","terrestrial",190.476,1995,14
"946","HMK033",190,"pollination","spp2",1996,"Syrphid spp.","daily","rbml","terrestrial",169.625,1996,15
"947","HMK033",190,"pollination","spp2",1997,"Syrphid spp.","daily","rbml","terrestrial",179.252,1997,16
"948","HMK033",190,"pollination","spp2",1998,"Syrphid spp.","daily","rbml","terrestrial",175.162,1998,17
"949","HMK033",190,"pollination","spp2",1999,"Syrphid spp.","daily","rbml","terrestrial",170.056,1999,18
"950","HMK033",190,"pollination","spp2",2000,"Syrphid spp.","daily","rbml","terrestrial",154.286,2000,19
"951","HMK033",190,"pollination","spp2",2001,"Syrphid spp.","daily","rbml","terrestrial",167.465,2001,20
"952","HMK033",190,"pollination","spp2",2003,"Syrphid spp.","daily","rbml","terrestrial",168.94,2003,22
"953","HMK033",190,"pollination","spp2",2004,"Syrphid spp.","daily","rbml","terrestrial",149.613,2004,23
"954","HMK033",190,"pollination","spp2",2005,"Syrphid spp.","daily","rbml","terrestrial",169.905,2005,24
"955","HMK033",190,"pollination","spp2",2006,"Syrphid spp.","daily","rbml","terrestrial",176.99,2006,25
"956","HMK033",190,"pollination","spp2",2007,"Syrphid spp.","daily","rbml","terrestrial",150.045,2007,26
"957","HMK033",190,"pollination","spp2",2008,"Syrphid spp.","daily","rbml","terrestrial",184.05,2008,27
"958","HMK033",190,"pollination","spp2",2009,"Syrphid spp.","daily","rbml","terrestrial",161.167,2009,28
"959","HMK033",190,"pollination","spp2",2010,"Syrphid spp.","daily","rbml","terrestrial",194.132,2010,29
"960","HMK033",190,"pollination","spp2",2011,"Syrphid spp.","daily","rbml","terrestrial",173.308,2011,30
"20","HMK004",19,"herbivory","spp2",1982,"Tortrix viridana","daily","ukraine","terrestrial",102.261,1982,1
"21","HMK004",19,"herbivory","spp2",1983,"Tortrix viridana","daily","ukraine","terrestrial",96.6617,1983,2
"22","HMK004",19,"herbivory","spp2",1984,"Tortrix viridana","daily","ukraine","terrestrial",105.007,1984,3
"23","HMK004",19,"herbivory","spp2",1985,"Tortrix viridana","daily","ukraine","terrestrial",109.914,1985,4
"24","HMK004",19,"herbivory","spp2",1986,"Tortrix viridana","daily","ukraine","terrestrial",96.7122,1986,5
"25","HMK004",19,"herbivory","spp2",1987,"Tortrix viridana","daily","ukraine","terrestrial",114.949,1987,6
"26","HMK004",19,"herbivory","spp2",1988,"Tortrix viridana","daily","ukraine","terrestrial",101.514,1988,7
"2213","SET005",235,"predation","spp2",1983,"Uria aalge","daily","northsea","aquatic",182.9503,1983,2
"2214","SET005",235,"predation","spp2",1984,"Uria aalge","daily","northsea","aquatic",169.5155,1984,3
"2215","SET005",235,"predation","spp2",1985,"Uria aalge","daily","northsea","aquatic",178.0308,1985,4
"2216","SET005",235,"predation","spp2",1986,"Uria aalge","daily","northsea","aquatic",189.9808,1986,5
"2217","SET005",235,"predation","spp2",1987,"Uria aalge","daily","northsea","aquatic",177.1568,1987,6
"2218","SET005",235,"predation","spp2",1988,"Uria aalge","daily","northsea","aquatic",180.8006,1988,7
"2219","SET005",235,"predation","spp2",1989,"Uria aalge","daily","northsea","aquatic",166.2404,1989,8
"2220","SET005",235,"predation","spp2",1990,"Uria aalge","daily","northsea","aquatic",163.7301,1990,9
"2221","SET005",235,"predation","spp2",1991,"Uria aalge","daily","northsea","aquatic",171.2611,1991,10
"2222","SET005",235,"predation","spp2",1992,"Uria aalge","daily","northsea","aquatic",167.3352,1992,11
"2223","SET005",235,"predation","spp2",1993,"Uria aalge","daily","northsea","aquatic",175.2203,1993,12
"2224","SET005",235,"predation","spp2",1994,"Uria aalge","daily","northsea","aquatic",177.391,1994,13
"2225","SET005",235,"predation","spp2",1995,"Uria aalge","daily","northsea","aquatic",188.2847,1995,14
"2226","SET005",235,"predation","spp2",1996,"Uria aalge","daily","northsea","aquatic",173.4533,1996,15
"2227","SET005",235,"predation","spp2",1997,"Uria aalge","daily","northsea","aquatic",144.7964,1997,16
"2228","SET005",235,"predation","spp2",1998,"Uria aalge","daily","northsea","aquatic",177.9679,1998,17
"2229","SET005",235,"predation","spp2",1999,"Uria aalge","daily","northsea","aquatic",177.7385,1999,18
"2230","SET005",235,"predation","spp2",2000,"Uria aalge","daily","northsea","aquatic",149.9125,2000,19
